ESIID,USAGE_DATE,REVISION_DATE,USAGE_START_TIME,USAGE_END_TIME,USAGE_KWH,ESTIMATED_ACTUAL,CONSUMPTION_SURPLUSGENERATION
'1234567890,06/10/2025,06/11/2025 07:40:29, 00:00, 00:15,0.127,A,Consumption
'1234567890,06/10/2025,06/11/2025 07:40:29, 00:15, 00:30,0.132,A,Consumption
'1234567890,06/10/2025,06/11/2025 07:40:29, 00:30, 00:45,0.156,A,Consumption
'1234567890,06/10/2025,06/11/2025 07:40:29, 00:45, 01:00,0.125,A,Consumption
'1234567890,06/10/2025,06/11/2025 07:40:29, 01:00, 01:15,0.148,A,Consumption
'1234567890,06/10/2025,06/11/2025 07:40:29, 01:15, 01:30,0.124,A,Consumption
'1234567890,06/10/2025,06/11/2025 07:40:29, 01:30, 01:45,0.144,A,Consumption
'1234567890,06/10/2025,06/11/2025 07:40:29, 01:45, 02:00,0.157,A,Consumption
'1234567890,06/10/2025,06/11/2025 07:40:29, 02:00, 02:15,0.142,A,Consumption
'1234567890,06/10/2025,06/11/2025 07:40:29, 02:15, 02:30,0.121,A,Consumption
'1234567890,06/10/2025,06/11/2025 07:40:29, 02:30, 02:45,0.116,A,Consumption
'1234567890,06/10/2025,06/11/2025 07:40:29, 02:45, 03:00,0.115,A,Consumption
'1234567890,06/10/2025,06/11/2025 07:40:29, 03:00, 03:15,0.118,A,Consumption
'1234567890,06/10/2025,06/11/2025 07:40:29, 03:15, 03:30,0.141,A,Consumption
'1234567890,06/10/2025,06/11/2025 07:40:29, 03:30, 03:45,0.131,A,Consumption
'1234567890,06/10/2025,06/11/2025 07:40:29, 03:45, 04:00,0.123,A,Consumption
'1234567890,06/10/2025,06/11/2025 07:40:29, 04:00, 04:15,0.122,A,Consumption
'1234567890,06/10/2025,06/11/2025 07:40:29, 04:15, 04:30,0.161,A,Consumption
'1234567890,06/10/2025,06/11/2025 07:40:29, 04:30, 04:45,0.119,A,Consumption
'1234567890,06/10/2025,06/11/2025 07:40:29, 04:45, 05:00,0.127,A,Consumption
'1234567890,06/10/2025,06/11/2025 07:40:29, 05:00, 05:15,0.134,A,Consumption
'1234567890,06/10/2025,06/11/2025 07:40:29, 05:15, 05:30,0.111,A,Consumption
'1234567890,06/10/2025,06/11/2025 07:40:29, 05:30, 05:45,0.159,A,Consumption
'1234567890,06/10/2025,06/11/2025 07:40:29, 05:45, 06:00,0.118,A,Consumption
'1234567890,06/10/2025,06/11/2025 07:40:29, 06:00, 06:15,0.193,A,Consumption
'1234567890,06/10/2025,06/11/2025 07:40:29, 06:15, 06:30,0.185,A,Consumption
'1234567890,06/10/2025,06/11/2025 07:40:29, 06:30, 06:45,0.59,A,Consumption
'1234567890,06/10/2025,06/11/2025 07:40:29, 06:45, 07:00,0.832,A,Consumption
'1234567890,06/10/2025,06/11/2025 07:40:29, 07:00, 07:15,0.95,A,Consumption
'1234567890,06/10/2025,06/11/2025 07:40:29, 07:15, 07:30,0.691,A,Consumption
'1234567890,06/10/2025,06/11/2025 07:40:29, 07:30, 07:45,0.359,A,Consumption
'1234567890,06/10/2025,06/11/2025 07:40:29, 07:45, 08:00,0.324,A,Consumption
'1234567890,06/10/2025,06/11/2025 07:40:29, 08:00, 08:15,0.691,A,Consumption
'1234567890,06/10/2025,06/11/2025 07:40:29, 08:15, 08:30,0.69,A,Consumption
'1234567890,06/10/2025,06/11/2025 07:40:29, 08:30, 08:45,0.714,A,Consumption
'1234567890,06/10/2025,06/11/2025 07:40:29, 08:45, 09:00,0.728,A,Consumption
'1234567890,06/10/2025,06/11/2025 07:40:29, 09:00, 09:15,0.602,A,Consumption
'1234567890,06/10/2025,06/11/2025 07:40:29, 09:15, 09:30,0.553,A,Consumption
'1234567890,06/10/2025,06/11/2025 07:40:29, 09:30, 09:45,0.581,A,Consumption
'1234567890,06/10/2025,06/11/2025 07:40:29, 09:45, 10:00,0.201,A,Consumption
'1234567890,06/10/2025,06/11/2025 07:40:29, 10:00, 10:15,1.086,A,Consumption
'1234567890,06/10/2025,06/11/2025 07:40:29, 10:15, 10:30,1.11,A,Consumption
'1234567890,06/10/2025,06/11/2025 07:40:29, 10:30, 10:45,1.135,A,Consumption
'1234567890,06/10/2025,06/11/2025 07:40:29, 10:45, 11:00,1.093,A,Consumption
'1234567890,06/10/2025,06/11/2025 07:40:29, 11:00, 11:15,1.16,A,Consumption
'1234567890,06/10/2025,06/11/2025 07:40:29, 11:15, 11:30,1.063,A,Consumption
'1234567890,06/10/2025,06/11/2025 07:40:29, 11:30, 11:45,0.524,A,Consumption
'1234567890,06/10/2025,06/11/2025 07:40:29, 11:45, 12:00,0.524,A,Consumption
'1234567890,06/10/2025,06/11/2025 07:40:29, 12:00, 12:15,0.492,A,Consumption
'1234567890,06/10/2025,06/11/2025 07:40:29, 12:15, 12:30,0.541,A,Consumption
'1234567890,06/10/2025,06/11/2025 07:40:29, 12:30, 12:45,1.08,A,Consumption
'1234567890,06/10/2025,06/11/2025 07:40:29, 12:45, 13:00,0.813,A,Consumption
'1234567890,06/10/2025,06/11/2025 07:40:29, 13:00, 13:15,0.89,A,Consumption
'1234567890,06/10/2025,06/11/2025 07:40:29, 13:15, 13:30,0.825,A,Consumption
'1234567890,06/10/2025,06/11/2025 07:40:29, 13:30, 13:45,0.843,A,Consumption
'1234567890,06/10/2025,06/11/2025 07:40:29, 13:45, 14:00,0.828,A,Consumption
'1234567890,06/10/2025,06/11/2025 07:40:29, 14:00, 14:15,0.852,A,Consumption
'1234567890,06/10/2025,06/11/2025 07:40:29, 14:15, 14:30,0.292,A,Consumption
'1234567890,06/10/2025,06/11/2025 07:40:29, 14:30, 14:45,0.302,A,Consumption
'1234567890,06/10/2025,06/11/2025 07:40:29, 14:45, 15:00,0.29,A,Consumption
'1234567890,06/10/2025,06/11/2025 07:40:29, 15:00, 15:15,0.376,A,Consumption
'1234567890,06/10/2025,06/11/2025 07:40:29, 15:15, 15:30,0.366,A,Consumption
'1234567890,06/10/2025,06/11/2025 07:40:29, 15:30, 15:45,0.372,A,Consumption
'1234567890,06/10/2025,06/11/2025 07:40:29, 15:45, 16:00,0.38,A,Consumption
'1234567890,06/10/2025,06/11/2025 07:40:29, 16:00, 16:15,0.33,A,Consumption
'1234567890,06/10/2025,06/11/2025 07:40:29, 16:15, 16:30,0.354,A,Consumption
'1234567890,06/10/2025,06/11/2025 07:40:29, 16:30, 16:45,0.414,A,Consumption
'1234567890,06/10/2025,06/11/2025 07:40:29, 16:45, 17:00,0.383,A,Consumption
'1234567890,06/10/2025,06/11/2025 07:40:29, 17:00, 17:15,0.394,A,Consumption
'1234567890,06/10/2025,06/11/2025 07:40:29, 17:15, 17:30,0.357,A,Consumption
'1234567890,06/10/2025,06/11/2025 07:40:29, 17:30, 17:45,0.394,A,Consumption
'1234567890,06/10/2025,06/11/2025 07:40:29, 17:45, 18:00,0.749,A,Consumption
'1234567890,06/10/2025,06/11/2025 07:40:29, 18:00, 18:15,0.762,A,Consumption
'1234567890,06/10/2025,06/11/2025 07:40:29, 18:15, 18:30,1.158,A,Consumption
'1234567890,06/10/2025,06/11/2025 07:40:29, 18:30, 18:45,1.23,A,Consumption
'1234567890,06/10/2025,06/11/2025 07:40:29, 18:45, 19:00,1.161,A,Consumption
'1234567890,06/10/2025,06/11/2025 07:40:29, 19:00, 19:15,1.214,A,Consumption
'1234567890,06/10/2025,06/11/2025 07:40:29, 19:15, 19:30,1.165,A,Consumption
'1234567890,06/10/2025,06/11/2025 07:40:29, 19:30, 19:45,0.302,A,Consumption
'1234567890,06/10/2025,06/11/2025 07:40:29, 19:45, 20:00,0.858,A,Consumption
